donor_country_iso3,year,channel,sourceObjects_Organization.id,destinationObjects_Location.name,id,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.organizationSubTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Location.code,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.code,destinationObjects_Cluster.organizationSubTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,sourceObjects_Project.organizationSubTypes,sourceObjects_Cluster.organizationSubTypes,multiyear,amountUSD,iso3,recipient,donor_country,source_org_type,subchannel,gha_channel,dummy,deflator,amountUSD_defl
BEL,2022,Red Cross/Red Crescent,2927,"",162750,2017,"",financial,2017-08-15T08:53:15.486Z,2017-06-21T00:00:00Z,2017-06-21T00:00:00Z,"Het programma behelst de constructie, equipering, het voorzien van personeel en de operationalisering van drie fysieke rehabilitatiecentra in drie Afrikaanse landen: DRC, Mali en Nigeria. Het programma zal gefinancierd worden via een “Humanitaire Impact Bond” (HIB). Multiyear, 2017-2022, 2022 portion (tentative breakdown)","",0.879,2017-08-15T00:00:00Z,Standard,Humanitarian aid|Multiyear,TRUE,EUR,Traditional aid,162729,commitment,2017-11-30T10:49:31.777Z,1,incoming,single,1449500,PG/2017/06 - 1230,"Belgium, Government of",single,Government,38,2017,single,"",22,Belgium,single,,,National government,"",,"","",,9,Nutrition,single,"","","","","",,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",International Society,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,1649033,,"",Belgium,Government,International Society,RCRC,FALSE,1.10398464324963,1493710.08925087
CHE,2022,NGO,2924,Jordan,174499,,"",financial,2018-05-15T16:50:35.892Z,2018-03-31T00:00:00Z,,"JOR Medair - Comprehensive support to vulnerable Syrian refugees and Jordanians through a case management approach through SCO Amman, multiyear 2018-2022, 2022 portion, award total CHF 200,000 (7F-10006.99)","",0.939,2018-04-12T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,174495,commitment,2018-05-15T16:50:35.892Z,1,incoming,single,2e+05,7F-10006.99,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,26479,Multi-sector,single,"","",114,single,"",,4528,MEDAIR,single,NGO,,,"","",,,,"","",,"",43,2022,single,"",,600,Syrian Arab Republic - Civil Unrest (from 2012),single,"","","",International,"",,"",,,,"","",,,,,,,,,,,,,,,,,,4243,Multi-sector,single,"","","",,,,,,,,,,FALSE,212993,JOR,Jordan,Switzerland,Government,International,NGOs and CSOs,FALSE,1.07440918531544,198241.976065633
SAU,2022,UN agency,2998,"",174919,,"",financial,2018-05-19T04:25:40.792Z,2018-05-21T00:00:00Z,2018-05-09T00:00:00Z,Unearmarked Unallocated Funds [OCT 6080];[NA],unearmarked,,2018-05-19T00:00:00Z,Standard,Unearmarked,TRUE,"",Traditional aid,,paid,2018-12-10T13:32:12.098Z,1,incoming,single,,[OCT 6080];[NA],"Saudi Arabia (Kingdom of), Government of",single,Government,39,2018,single,"",196,Saudi Arabia,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","","","","",,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,5e+05,,"",Saudi Arabia,Government,Uncategorized,UN Multi,FALSE,1.16085937194121,430715.39248022
DAC,2022,NGO,7173,Bangladesh,175132,,"",financial,2018-05-23T11:06:30.091Z,2018-01-30T00:00:00Z,2018-01-30T00:00:00Z,"Bridge School Program for OOSC, Bangladesh","",,2018-05-20T00:00:00Z,Standard,Multiyear,TRUE,"",Traditional aid,175121,commitment,2018-05-23T11:06:30.091Z,1,incoming,single,,EAA/EAC/CT/53/2018,Education Above All Foundation,single,Private organization/foundation,39,2018,single,"",,"","",,,Local/National organization/foundation/individual,"",,"","",,3,Education,single,"","",19,single,"",,4494,BRAC,single,NGO,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",International,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,513910,BGD,Bangladesh,Total DAC,Private organization/foundation,International,NGOs and CSOs,FALSE,1.08142436250486,475215.852183734
CHE,2022,UN agency,2924,occupied Palestinian territory,176648,,"",financial,2018-06-14T12:35:27.105Z,2018-06-05T00:00:00Z,,"Support to WHO - oPt / Gaza, multi-year funding, 2018-2023, 2022 portion, total award CHF 300,000 (7F-10059.01)","",0.933,2018-06-05T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,176447,commitment,2019-06-14T08:06:21.097Z,1,incoming,single,3e+05,7F-10059.01,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,"","","","","",171,single,"",,4398,World Health Organization,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,321543,PSE,occupied Palestinian territory,Switzerland,Government,Uncategorized,UN Multi,FALSE,1.07440918531544,299274.24708827
PAK,2022,UN agency,83,Pakistan,176658,,"",financial,2018-06-20T15:32:26.099Z,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z,The project is expected to improve food security and increase the resilience of livelihood of livestock farmers to animal disease threats in Pakistan (2022 portion),"",,2018-06-14T00:00:00Z,Standard,Multiyear,TRUE,"",Traditional aid,176652,commitment,2018-06-20T15:33:39.075Z,1,incoming,single,,F-No.5-12/2012(FAO-FMD)IC-1 UTF/PAK/145/PAK,"Pakistan, Government of",single,Government,38,2017,single,"",169,Pakistan,single,,,National government,"",,"","",,6,Food Security,single,"","",169,single,"",,4399,Food & Agriculture Organization of the United Nations,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,1163262,PAK,Pakistan,Pakistan,Government,Uncategorized,UN Multi,FALSE,1.01604848822699,1144888.27401328
CHE,2022,NGO,2924,Iraq,179126,,"",financial,2018-08-14T17:30:07.805Z,2018-07-31T00:00:00Z,,"Iraq INSO Analysis and Advice for Humanitarians , Multiyear 2018-2022,2021 portion,  total amount CHF 40,000 (7F-10117.01)","",0.991,2018-08-03T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,179121,commitment,2018-08-14T17:30:07.805Z,1,incoming,single,40000,7F-10117.01,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,10,Protection,single,"","",106,single,"",,6865,International NGO Safety Organisation,single,NGO,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",International,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,40363,IRQ,Iraq,Switzerland,Government,International,NGOs and CSOs,FALSE,1.07440918531544,37567.6237244283
AUS,2022,UN agency,4391,Fiji,181853,,"",financial,2022-01-22T02:25:21.705Z,2022-01-20T00:00:00Z,2018-10-11T00:00:00Z,"Regional Office for the Pacific,  [OCT 6248]",softly earmarked,1.386,2018-10-19T00:00:00Z,Standard,"",TRUE,AUD,Traditional aid,,paid,2022-01-23T08:41:06.897Z,3,incoming,single,2e+05,[OCT 6248],"Australia, Government of",single,Government,39,2018,single,"",14,Australia,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","",74,single,"",,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,144517,FJI,Fiji,Australia,Government,Uncategorized,UN Multi,FALSE,1.1443996910593,126281.928533404
AUS,2022,UN agency,4391,"",181855,,"",financial,2022-01-22T02:25:19.292Z,2022-01-20T00:00:00Z,2018-10-11T00:00:00Z,Unearmarked Unallocated Funds  [OCT 6248],unearmarked,1.386,2018-10-19T00:00:00Z,Standard,Unearmarked,TRUE,AUD,Traditional aid,,paid,2022-01-23T08:39:03.256Z,2,incoming,single,9e+06,[OCT 6248],"Australia, Government of",single,Government,39,2018,single,"",14,Australia,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","","","","",,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,6503265,,"",Australia,Government,Uncategorized,UN Multi,FALSE,1.1443996910593,5682686.78400319
AUS,2022,UN agency,4391,Thailand,181859,,"",financial,2022-01-22T02:25:21.121Z,2022-01-20T00:00:00Z,2018-10-11T00:00:00Z,Regional Office for Asia and the Pacific [OCT 6248],softly earmarked,1.386,2018-10-19T00:00:00Z,Standard,"",TRUE,AUD,Traditional aid,,paid,2022-01-23T08:41:59.454Z,3,incoming,single,8e+05,[OCT 6248],"Australia, Government of",single,Government,39,2018,single,"",14,Australia,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","",222,single,"",,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,578068,THA,Thailand,Australia,Government,Uncategorized,UN Multi,FALSE,1.1443996910593,505127.714133617
