donor_country_iso3,year,channel,sourceObjects_Organization.id,destinationObjects_Location.name,id,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.organizationSubTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Location.code,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.code,destinationObjects_Cluster.organizationSubTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,sourceObjects_Project.organizationSubTypes,sourceObjects_Cluster.organizationSubTypes,multiyear,amountUSD,iso3,recipient,donor_country,source_org_type,subchannel,gha_channel,dummy,deflator,amountUSD_defl
DAC,2001,NGO,9257,Sudan,178,2001,,financial,2001-03-30T00:00:00Z,2001-03-25T00:00:00Z,2001-03-25T00:00:00Z,Health programme,"",,2001-03-30T00:00:00Z,Standard,Humanitarian aid,FALSE,CHF,Traditional aid,,commitment,2018-08-02T12:47:21.158Z,1,incoming,shared,6e+05,7F-05965.04,Action Against Hunger,single,NGO,39; 40,2018; 2019,shared; shared,NULL; NULL,137,Mali,single,,,International,NULL; NULL,11; 7; 9,Water Sanitation Hygiene; Health; Nutrition,shared; shared; shared,NULL; NULL; NULL,7,Health,single,,,212,single,,,4528,MEDAIR,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International,,,,,NULL; NULL; NULL,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,357143,SDN,Sudan,Total DAC,NGO,International,NGOs and CSOs,FALSE,0.682860803106723,523009.958069277
SWE,2001,NGO,2921,"Korea, Democratic People's Republic of",10,2001,,financial,2001-02-12T00:00:00Z,2001-01-17T00:00:00Z,2001-01-17T00:00:00Z,Rehabilitation and support to the Hamhung City Provincial Maternity Hospital,"",,2001-01-18T00:00:00Z,Standard,Humanitarian aid,TRUE,SEK,Traditional aid,,commitment,2001-09-03T00:00:00Z,1,incoming,single,2e+06,2000-004907,"Sweden, Government of",single,Government,22,2001,single,"",216,Sweden,single,,,National government,"","","","","",7,Health,single,,,118,single,,,4390,Children's Aid Direct,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,International,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,210000,PRK,"Korea, Democratic People's Republic of",Sweden,Government,International,NGOs and CSOs,FALSE,0.646973248540399,324588.382091175
NOR,2001,UN agency,2930,"Korea, Democratic People's Republic of",100,2001,,in kind,2001-03-13T00:00:00Z,2001-02-28T00:00:00Z,2001-02-28T00:00:00Z,"Emergency assistance for vulnerable groups, EMOP No. 5959.02","",,2001-02-28T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,"",Traditional aid,,paid,2001-06-20T00:00:00Z,1,incoming,single,,"","Norway, Government of",single,Government,22,2001,single,"",167,Norway,single,,,National government,"","","","","",6,Food Security,single,,,118,single,,,3049,World Food Programme,single,UN agency,,36,DPR of Korea 2001,single,,,4,Emergency Assistance for Vulnerable Groups. Emergency Operation (EMOP) DPR KOREA No. 5959.02,single,,DPRK-01-1/N01,22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,130738,PRK,"Korea, Democratic People's Republic of",Norway,Government,Uncategorized,UN Multi,FALSE,0.626793513784831,208582.247781333
SWE,2001,UN agency,2921,"Congo, The Democratic Republic of the",1002,2001,,financial,2001-04-05T00:00:00Z,2001-01-15T00:00:00Z,2001-01-15T00:00:00Z,Protection of children affected by armed conflict,"",,2001-01-19T00:00:00Z,Standard,Humanitarian aid,TRUE,SEK,Traditional aid,,paid,2001-04-05T00:00:00Z,1,incoming,single,4e+06,2000-4983,"Sweden, Government of",single,Government,22,2001,single,"",216,Sweden,single,,,National government,"","","","","",10,Protection,single,,,52,single,,,2915,United Nations Children's Fund,single,UN agency,,40,Democratic Republic of the Congo 2001,single,,,200,Protection of children affected by armed conflict,single,,DRC-01-1/N15,22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,418840,COD,"Congo, The Democratic Republic of the",Sweden,Government,Uncategorized,UN Multi,FALSE,0.646973248540399,647383.799786037
DNK,2001,Red Cross/Red Crescent,3776,"",101,2001,,financial,2001-03-14T00:00:00Z,2001-03-09T00:00:00Z,2001-03-09T00:00:00Z,"Cash in support of people affected by the conflict in GUINEA (Part of DKK 2,000,000)","",,2001-03-12T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2001-10-10T00:00:00Z,1,incoming,single,1e+06,46.H.1-7-109,"Denmark, Government of",single,Government,22,2001,single,"",61,Denmark,single,,,National government,"","","","","",26479,Multi-sector,single,,,,"",,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,"",,"","",,,,"","",,"",22,2001,single,,,9,West Africa 2001-2002,single,,,,International Society,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,122850,,"",Denmark,Government,International Society,RCRC,FALSE,0.572153931446353,214714.945136261
SWE,2001,UN agency,2921,"Congo, The Democratic Republic of the",1017,2001,,financial,2001-04-05T00:00:00Z,2001-01-15T00:00:00Z,2001-01-15T00:00:00Z,Rapid educational initiative for internally displaced children in DRC,"",,2001-01-19T00:00:00Z,Standard,Humanitarian aid,TRUE,SEK,Traditional aid,,paid,2001-04-05T00:00:00Z,1,incoming,single,3e+06,2000-4983,"Sweden, Government of",single,Government,22,2001,single,"",216,Sweden,single,,,National government,"","","","","",3,Education,single,,,52,single,,,2915,United Nations Children's Fund,single,UN agency,,40,Democratic Republic of the Congo 2001,single,,,206,Rapid educational initiative for internally displaced children in DRC,single,,DRC-01-1/N21,22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,314130,COD,"Congo, The Democratic Republic of the",Sweden,Government,Uncategorized,UN Multi,FALSE,0.646973248540399,485537.849839528
DEU,2001,Red Cross/Red Crescent,4306,"",102,2001,,financial,2001-03-14T00:00:00Z,2001-02-22T00:00:00Z,2001-02-22T00:00:00Z,Cash to meet basic medical and shelter needs of refugees and IDPs (GUINEA),"",,2001-03-14T00:00:00Z,Standard,Humanitarian aid,TRUE,DEM,Traditional aid,,commitment,2001-10-10T00:00:00Z,1,incoming,single,2e+05,GIN 4/01,"Germany, Government of",single,Government,22,2001,single,"",83,Germany,single,,,National government,"","","","","",26479,Multi-sector,single,,,,"",,,2992,German Red Cross,single,Red Cross/Red Crescent,"",,"","",,,,"","",,"",22,2001,single,,,9,West Africa 2001-2002,single,,,,National Society,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,93897,,"",Germany,Government,National Society,RCRC,FALSE,0.60333001161548,155631.243585216
DEU,2001,Uncategorized,4306,Bulgaria,103,2001,,financial,2001-03-14T00:00:00Z,2001-02-16T00:00:00Z,2001-02-16T00:00:00Z,Cash for procurement of 700 blankets through German Embassy in Sofia.,"",1.08994,2001-03-14T00:00:00Z,Standard,Humanitarian aid,TRUE,DEM,Traditional aid,,commitment,2011-01-31T14:21:00Z,1,incoming,single,10737,BGR 01/01,"Germany, Government of",single,Government,22,2001,single,"",83,Germany,single,,,National government,"","","","","",26479,Multi-sector,single,,,35,single,,,"","","","","",,"","",,,,"","",,"",22,2001,single,,,,"","",,,,"",,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,9851,BGR,Bulgaria,Germany,Government,Uncategorized,Uncategorized,FALSE,0.60333001161548,16327.714203414
NLD,2001,NGO,3008,"",10301,2002,,financial,2002-08-26T00:00:00Z,2002-08-13T00:00:00Z,2002-08-13T00:00:00Z,"To promote sustainable care for victims of war-related gender-based violence in the countries of the former Yugoslavia.  This includes both the violence that took place during the wars, war rape and other forms of sexual violence as instruments of war and ethnic cleansing and the violence in the post-war situation, domestic and sexual violence","",,2002-08-26T00:00:00Z,Standard,Humanitarian aid,TRUE,EUR,Traditional aid,,commitment,2002-08-26T00:00:00Z,1,incoming,single,1427055,QE003604,"Netherlands, Government of",single,Government,23,2002,single,"",157,Netherlands,single,,,National government,"","","","","",7,Health,single,,,,"",,,4047,Admira,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,10,Southeastern Europe 2000 - 2002,single,,,,Uncategorized NGO,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1404582,,"",Netherlands,Government,Uncategorized,NGOs and CSOs,FALSE,0.579319753164099,2424536.69554426
AUT,2001,NGO,4546,El Salvador,10337,,,financial,2002-08-28T00:00:00Z,2001-05-22T00:00:00Z,2001-05-22T00:00:00Z,"ATS 200,000 for reconstruction","",,2002-08-28T00:00:00Z,Standard,"",TRUE,"",Traditional aid,,paid,2002-08-28T00:00:00Z,1,incoming,single,,"","Austria, Government of",single,Government,22,2001,single,"",15,Austria,single,,,National government,"","","","","",4,Emergency Shelter and NFI,single,,,67,single,,,3204,Horizont 3000,single,NGO,"",,"","",,,,"","",,"",22,2001,single,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,Uncategorized NGO,,,,,"",,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,13322,SLV,El Salvador,Austria,Government,Uncategorized,NGOs and CSOs,FALSE,0.564211971220819,23611.6932633925
